84646,,E/ESCWA/RES/173(XV),Draft medium-term plan of the Economic and Social Commission for Western Asia for the period 1992-1997.,
84648,,E/ESCWA/RES/175(XV),Strengthening of the role and performance of the Economic and Social Commission for Western Asia.,
84649,,E/ESCWA/RES/176(XV),International assistance to the flood-stricken areas of Democratic Yemen.,
84650,,E/ESCWA/RES/177(XV),International Development Strategy for the Fourth United Nations Development Decade.,
85570,,E/ESCWA/DPD/89/2,Developments in the external sector of the ESCWA region in the 1980s.,http://digitallibrary.un.org/record/85570/files/E_ESCWA_DPD_89_2-EN.pdf
87137,,E/ESCWA/AGREB/XI,"Agriculture and development in Western Asia, no. 11, Dec. 1988.",http://digitallibrary.un.org/record/87137/files/E_ESCWA_AGREB_XI-EN.pdf
87172,,E/ESCWA/NR/89/14,"Energy audits for selected energy-intensive industries in the ESCWA region (Musameyeh and Hama Cement Plants, Syrian Arab Republic).",http://digitallibrary.un.org/record/87172/files/E_ESCWA_NR_89_14-EN.pdf
87174,,E/ESCWA/NR/88/26,Printout of energy data in the ESCWA region.,
87175,,E/ESCWA/NR/89/23,Printout of energy data.,http://digitallibrary.un.org/record/87175/files/E_ESCWA_NR_89_23-EN.pdf
87188,,E/ESCWA/AGR/89/8,Reforestation and rehabilitation of the Swaratuka Resort Watershed Project.,http://digitallibrary.un.org/record/87188/files/E_ESCWA_AGR_89_8-EN.pdf
87335,,E/ESCWA/DPD/89/6,Review and analysis of the progress made in the implementation of the Substantial New Programme of Action for the Least Developed Countries in the ESCWA region.,http://digitallibrary.un.org/record/87335/files/E_ESCWA_DPD_89_6-AR.pdf; http://digitallibrary.un.org/record/87335/files/E_ESCWA_DPD_89_6-EN.pdf
87776,,E/ESCWA/SD/89/10,Infant and childhood mortality in Western Asia.,http://digitallibrary.un.org/record/87776/files/E_ESCWA_SD_89_10-EN.pdf
92833,,E/ESCWA/ID/89/9,"Issues of inter- and intra-regional trade and marketing of manufactured products :; sectoral studies on textile, aluminium, steel and cement industries in the ESCWA region.",http://digitallibrary.un.org/record/92833/files/E_ESCWA_ID_89_9-EN.pdf
97359,,E/ESCWA/STAT/89/27,"Statistical abstract of the region of the Economic and Social Commission for Western Asia, 1978-1987.",http://digitallibrary.un.org/record/97359/files/E_ESCWA_STAT_89_27-AR.pdf
106479,,E/ESCWA/DPD/89/10,"Studies on development problems in countries of Western Asia, 1987-1989.",http://digitallibrary.un.org/record/106479/files/E_ESCWA_DPD_89_10-EN.pdf
113358,,E/ESCWA/AGR/85/WG.17/3,Critical factors affecting wheat production and distribution in Jordan /; by Munther M. Azar.,
113366,,E/ESCWA/TCT/85/9,Strategy for the development of integrated transport in Western Asia.,http://digitallibrary.un.org/record/113366/files/E_ESCWA_TCT_85_9-EN.pdf
119108,,E/ESCWA/RES/143(XIII),Activities in the telecommunications sector.,
119110,,E/ESCWA/RES/145(XIII),Economic and social conditions of the Palestinian Arab people under occupation.,
119111,,E/ESCWA/RES/146(XIII),General study of the economic and social situation and potential of the Palestinian people.,
119112,,E/ESCWA/RES/147(XIII),United Nations Conference for the Promotion of International Co-operation in the Peaceful Uses of Nuclear Energy.,
119113,,E/ESCWA/RES/148(XIII),Interregional Consultation on Developmental Social Welfare Policies and Programmes :; [ESCWA].,
119115,,E/ESCWA/RES/150(XIII),Policy issues affecting operational activities of the United Nations System for development :; 1986 triennial review.,
119116,,E/ESCWA/RES/151(XIII),International Year of Peace.,
119118,,E/ESCWA/RES/153(XIII),Amendment of the provisional rules of procedure of the Economic and Social Commission for Western Asia.,
120347,,E/ESCWA/STAT/85/32,Compendium of social statistics.,
121784,,E/ESCWA/ID/85/15,Studies on regional co-operation in the development of capital goods and heavy engineering industries.,http://digitallibrary.un.org/record/121784/files/E_ESCWA_ID_85_15-EN.pdf
121785,,E/ESCWA/STAT/85/25,"Statistical abstract of the region of the Economic and Social Commission for Western Asia, 1974-1983, 8th issue.",http://digitallibrary.un.org/record/121785/files/E_ESCWA_STAT_85_25-AR.pdf
